Region,Date,Frequency,Estimated Unemployment Rate (%),Estimated Employed,Estimated Labour Participation Rate (%),Area,Year
Goa,2020-02-29, Monthly,0.0,171672.0,36.11,Rural,February
Goa,2020-04-30, Monthly,15.91,181657.0,45.36,Rural,April
Goa,2020-05-31, Monthly,20.0,128538.0,33.71,Rural,May
Gujarat,2019-05-31, Monthly,2.88,13954728.0,52.03,Rural,May
Gujarat,2019-06-30, Monthly,4.77,13199281.0,50.12,Rural,June
Gujarat,2019-07-31, Monthly,4.58,14327083.0,54.21,Rural,July
Gujarat,2019-08-31, Monthly,3.7,13507342.0,50.57,Rural,August
Gujarat,2019-09-30, Monthly,6.29,13280783.0,51.01,Rural,September
Gujarat,2019-10-31, Monthly,4.91,13828512.0,52.27,Rural,October
Gujarat,2019-11-30, Monthly,4.68,14487815.0,54.55,Rural,November
Gujarat,2019-12-31, Monthly,3.46,13877825.0,51.51,Rural,December
Gujarat,2020-01-31, Monthly,5.35,14301844.0,54.07,Rural,January
Gujarat,2020-02-29, Monthly,6.64,13973042.0,53.48,Rural,February
Gujarat,2020-03-31, Monthly,7.59,13483615.0,52.06,Rural,March
Gujarat,2020-04-30, Monthly,12.0,8587594.0,34.77,Rural,April
Gujarat,2020-05-31, Monthly,14.58,11121124.0,46.31,Rural,May
Gujarat,2020-06-30, Monthly,1.41,13243922.0,47.72,Rural,June
Haryana,2019-05-31, Monthly,14.54,5249186.0,45.12,Rural,May
Haryana,2019-06-30, Monthly,23.08,4745178.0,45.23,Rural,June
Haryana,2019-07-31, Monthly,16.22,4826560.0,42.17,Rural,July
Haryana,2019-08-31, Monthly,30.94,4558306.0,48.23,Rural,August
Haryana,2019-09-30, Monthly,16.36,5127956.0,44.72,Rural,September
Haryana,2019-10-31, Monthly,24.17,4798833.0,46.07,Rural,October
Haryana,2019-11-30, Monthly,16.59,4875763.0,42.48,Rural,November
Haryana,2019-12-31, Monthly,29.56,4603484.0,47.4,Rural,December
Haryana,2020-01-31, Monthly,16.21,5062293.0,43.74,Rural,January
Haryana,2020-02-29, Monthly,27.19,4570108.0,45.37,Rural,February
Haryana,2020-03-31, Monthly,23.92,4366148.0,41.4,Rural,March
Haryana,2020-04-30, Monthly,41.61,4041050.0,49.85,Rural,April
Haryana,2020-05-31, Monthly,34.22,3914193.0,42.78,Rural,May
Haryana,2020-06-30, Monthly,35.57,4357835.0,48.53,Rural,June
Himachal Pradesh,2019-05-31, Monthly,13.68,2045760.0,44.23,Rural,May
Himachal Pradesh,2019-06-30, Monthly,11.43,1957081.0,41.18,Rural,June
Himachal Pradesh,2019-07-31, Monthly,20.59,1916824.0,44.91,Rural,July
Himachal Pradesh,2019-08-31, Monthly,18.56,1969248.0,44.91,Rural,August
Himachal Pradesh,2019-09-30, Monthly,15.98,2039804.0,45.02,Rural,September
Himachal Pradesh,2019-10-31, Monthly,15.81,1946957.0,42.81,Rural,October
Himachal Pradesh,2019-11-30, Monthly,22.86,2024409.0,48.5,Rural,November
Himachal Pradesh,2019-12-31, Monthly,19.46,1922821.0,44.05,Rural,December
Himachal Pradesh,2020-01-31, Monthly,16.67,2041035.0,45.11,Rural,January
Himachal Pradesh,2020-02-29, Monthly,15.42,1952464.0,42.45,Rural,February
Himachal Pradesh,2020-03-31, Monthly,17.71,1800426.0,40.17,Rural,March
Himachal Pradesh,2020-04-30, Monthly,2.13,984171.0,18.43,Rural,April
Himachal Pradesh,2020-05-31, Monthly,25.64,1732050.0,42.62,Rural,May
Himachal Pradesh,2020-06-30, Monthly,1.12,2230075.0,41.2,Rural,June
Jammu & Kashmir,2019-05-31, Monthly,12.78,2495186.0,40.57,Rural,May
Jammu & Kashmir,2019-06-30, Monthly,12.09,2423742.0,39.02,Rural,June
Jammu & Kashmir,2019-07-31, Monthly,13.67,2549316.0,41.71,Rural,July
Jammu & Kashmir,2019-08-31, Monthly,11.32,2778624.0,44.17,Rural,August
Jammu & Kashmir,2019-10-31, Monthly,19.27,2477621.0,43.08,Rural,October
Jammu & Kashmir,2019-11-30, Monthly,14.73,2415724.0,39.69,Rural,November
Jammu & Kashmir,2020-01-31, Monthly,22.19,2373488.0,42.56,Rural,January
Jammu & Kashmir,2020-02-29, Monthly,21.23,2163397.0,38.25,Rural,February
Jammu & Kashmir,2020-03-31, Monthly,16.0,2361004.0,39.06,Rural,March
Jammu & Kashmir,2020-05-31, Monthly,2.22,2716966.0,38.46,Rural,May
Jammu & Kashmir,2020-06-30, Monthly,18.97,2049617.0,34.94,Rural,June
Jharkhand,2019-05-31, Monthly,7.11,7035766.0,39.04,Rural,May
Jharkhand,2019-06-30, Monthly,8.46,7319782.0,41.12,Rural,June
Jharkhand,2019-07-31, Monthly,9.98,6958404.0,39.66,Rural,July
Jharkhand,2019-08-31, Monthly,12.06,7015356.0,40.83,Rural,August
Jharkhand,2019-09-30, Monthly,7.12,7500122.0,41.24,Rural,September
Jharkhand,2019-10-31, Monthly,6.57,7761243.0,42.33,Rural,October
Jharkhand,2019-11-30, Monthly,8.07,7279628.0,40.26,Rural,November
Jharkhand,2019-12-31, Monthly,15.15,6873437.0,41.09,Rural,December
Jharkhand,2020-01-31, Monthly,6.16,7868736.0,42.43,Rural,January
Jharkhand,2020-02-29, Monthly,9.06,7932402.0,44.05,Rural,February
Jharkhand,2020-03-31, Monthly,5.01,7157454.0,37.96,Rural,March
Jharkhand,2020-04-30, Monthly,41.72,4280434.0,36.92,Rural,April
Jharkhand,2020-05-31, Monthly,55.1,3315038.0,37.03,Rural,May
Jharkhand,2020-06-30, Monthly,21.53,6375114.0,40.65,Rural,June
Karnataka,2019-05-31, Monthly,5.46,13911440.0,46.36,Rural,May
Karnataka,2019-06-30, Monthly,5.98,12888490.0,43.12,Rural,June
Karnataka,2019-07-31, Monthly,0.52,12169808.0,38.42,Rural,July
Karnataka,2019-08-31, Monthly,0.37,12686470.0,39.93,Rural,August
Karnataka,2019-09-30, Monthly,3.2,13741892.0,44.45,Rural,September
Karnataka,2019-10-31, Monthly,7.13,12803527.0,43.1,Rural,October
Karnataka,2019-11-30, Monthly,1.19,11537217.0,36.45,Rural,November
Karnataka,2019-12-31, Monthly,0.41,12756132.0,39.92,Rural,December
Karnataka,2020-01-31, Monthly,2.57,13938874.0,44.52,Rural,January
Karnataka,2020-02-29, Monthly,4.11,12753657.0,41.33,Rural,February
Karnataka,2020-03-31, Monthly,2.39,12853818.0,40.85,Rural,March
Karnataka,2020-04-30, Monthly,33.17,9330400.0,43.25,Rural,April
Karnataka,2020-05-31, Monthly,23.72,10626328.0,43.09,Rural,May
Karnataka,2020-06-30, Monthly,10.92,15396213.0,53.37,Rural,June
Kerala,2019-05-31, Monthly,6.63,5184355.0,38.07,Rural,May
Kerala,2019-06-30, Monthly,9.0,5605627.0,42.19,Rural,June
Kerala,2019-07-31, Monthly,4.95,4855393.0,34.96,Rural,July
Kerala,2019-08-31, Monthly,10.32,5233449.0,39.9,Rural,August
Kerala,2019-09-30, Monthly,5.35,5400499.0,38.97,Rural,September
Kerala,2019-10-31, Monthly,9.14,5328825.0,40.02,Rural,October
Kerala,2019-11-30, Monthly,5.0,4557906.0,32.71,Rural,November
Kerala,2019-12-31, Monthly,10.77,5065804.0,38.67,Rural,December
Kerala,2020-01-31, Monthly,4.11,5307026.0,37.66,Rural,January
Kerala,2020-02-29, Monthly,8.91,5203579.0,38.84,Rural,February
Kerala,2020-03-31, Monthly,8.85,4141953.0,30.87,Rural,March
Kerala,2020-04-30, Monthly,10.71,1754170.0,13.33,Rural,April
Kerala,2020-05-31, Monthly,23.38,3799919.0,33.62,Rural,May
Kerala,2020-06-30, Monthly,27.66,3952088.0,37.01,Rural,June
Madhya Pradesh,2019-05-31, Monthly,3.63,15349838.0,37.97,Rural,May
Madhya Pradesh,2019-06-30, Monthly,4.25,16294794.0,40.48,Rural,June
Madhya Pradesh,2019-07-31, Monthly,3.92,16274707.0,40.2,Rural,July
Madhya Pradesh,2019-08-31, Monthly,4.94,16559137.0,41.25,Rural,August
Madhya Pradesh,2019-09-30, Monthly,3.08,16159315.0,39.4,Rural,September
Madhya Pradesh,2019-10-31, Monthly,2.98,17060638.0,41.46,Rural,October
Madhya Pradesh,2019-11-30, Monthly,2.72,16306428.0,39.44,Rural,November
Madhya Pradesh,2019-12-31, Monthly,2.94,16854647.0,40.77,Rural,December
Madhya Pradesh,2020-01-31, Monthly,3.66,16183702.0,39.35,Rural,January
Madhya Pradesh,2020-02-29, Monthly,4.42,16178044.0,39.57,Rural,February
Madhya Pradesh,2020-03-31, Monthly,1.19,16480441.0,38.9,Rural,March
Madhya Pradesh,2020-04-30, Monthly,12.5,14238959.0,37.88,Rural,April
Madhya Pradesh,2020-05-31, Monthly,22.46,13099601.0,39.24,Rural,May
Madhya Pradesh,2020-06-30, Monthly,6.46,16748971.0,41.5,Rural,June
Maharashtra,2019-05-31, Monthly,3.67,23896858.0,47.11,Rural,May
Maharashtra,2019-06-30, Monthly,4.34,23056511.0,45.69,Rural,June
Maharashtra,2019-07-31, Monthly,3.66,24843750.0,48.8,Rural,July
Maharashtra,2019-08-31, Monthly,3.76,26835389.0,52.67,Rural,August
Maharashtra,2019-09-30, Monthly,4.4,25219281.0,49.74,Rural,September
Maharashtra,2019-10-31, Monthly,3.81,24330249.0,47.61,Rural,October
Maharashtra,2019-11-30, Monthly,3.68,24881383.0,48.53,Rural,November
Maharashtra,2019-12-31, Monthly,3.03,26357625.0,50.98,Rural,December
Maharashtra,2020-01-31, Monthly,3.8,25881398.0,50.36,Rural,January
Maharashtra,2020-02-29, Monthly,4.24,25293535.0,49.36,Rural,February
Maharashtra,2020-03-31, Monthly,5.38,23130976.0,45.6,Rural,March
Maharashtra,2020-04-30, Monthly,25.28,15014802.0,37.42,Rural,April
Maharashtra,2020-05-31, Monthly,16.89,18423447.0,41.21,Rural,May
Maharashtra,2020-06-30, Monthly,9.4,23601016.0,48.34,Rural,June
Meghalaya,2019-05-31, Monthly,3.16,1119011.0,66.13,Rural,May
Meghalaya,2019-06-30, Monthly,4.23,1024797.0,61.09,Rural,June
Meghalaya,2019-07-31, Monthly,1.03,1158511.0,66.67,Rural,July
Meghalaya,2019-08-31, Monthly,0.52,1065725.0,60.86,Rural,August
Meghalaya,2019-09-30, Monthly,0.24,1162159.0,66.02,Rural,September
Meghalaya,2019-10-31, Monthly,3.7,1080609.0,63.44,Rural,October
Meghalaya,2019-11-30, Monthly,1.5,1205703.0,69.03,Rural,November
Meghalaya,2019-12-31, Monthly,1.8,1102997.0,63.18,Rural,December
Meghalaya,2020-01-31, Monthly,0.97,1229406.0,69.66,Rural,January
Meghalaya,2020-02-29, Monthly,2.76,1112864.0,64.06,Rural,February
Meghalaya,2020-03-31, Monthly,1.28,1192616.0,67.46,Rural,March
Meghalaya,2020-04-30, Monthly,8.38,803118.0,48.83,Rural,April
Meghalaya,2020-05-31, Monthly,3.73,992148.0,57.26,Rural,May
Meghalaya,2020-06-30, Monthly,1.35,1150200.0,64.63,Rural,June
Odisha,2019-05-31, Monthly,4.17,11155753.0,40.47,Rural,May
Odisha,2019-06-30, Monthly,4.71,10965154.0,39.94,Rural,June
Odisha,2019-07-31, Monthly,3.31,12009883.0,43.05,Rural,July
Odisha,2019-08-31, Monthly,3.68,11727659.0,42.13,Rural,August
Odisha,2019-09-30, Monthly,4.31,11167715.0,40.32,Rural,September
Odisha,2019-10-31, Monthly,4.28,11621534.0,41.88,Rural,October
Odisha,2019-11-30, Monthly,4.72,12192623.0,44.06,Rural,November
Odisha,2019-12-31, Monthly,4.67,11345069.0,40.91,Rural,December
Odisha,2020-01-31, Monthly,1.81,11182128.0,39.09,Rural,January
Odisha,2020-02-29, Monthly,3.31,11842655.0,41.98,Rural,February
Odisha,2020-03-31, Monthly,15.09,9814156.0,39.55,Rural,March
Odisha,2020-04-30, Monthly,24.48,5562449.0,25.16,Rural,April
Odisha,2020-05-31, Monthly,9.45,9683719.0,36.48,Rural,May
Odisha,2020-06-30, Monthly,4.59,10187145.0,36.36,Rural,June
Puducherry,2019-05-31, Monthly,0.0,172474.0,43.08,Rural,May
Puducherry,2019-06-30, Monthly,0.0,184527.0,45.95,Rural,June
Puducherry,2019-07-31, Monthly,0.0,139227.0,34.56,Rural,July
Puducherry,2019-08-31, Monthly,4.85,183930.0,47.83,Rural,August
Puducherry,2019-09-30, Monthly,0.0,175718.0,43.34,Rural,September
Puducherry,2019-10-31, Monthly,1.18,180283.0,44.85,Rural,October
Puducherry,2019-11-30, Monthly,0.0,142787.0,35.0,Rural,November
Puducherry,2019-12-31, Monthly,1.99,180808.0,45.07,Rural,December
Puducherry,2020-01-31, Monthly,0.58,176252.0,43.18,Rural,January
Puducherry,2020-02-29, Monthly,1.74,183619.0,45.38,Rural,February
Puducherry,2020-03-31, Monthly,2.31,142176.0,35.23,Rural,March
Puducherry,2020-04-30, Monthly,74.51,49420.0,46.79,Rural,April
Punjab,2019-05-31, Monthly,9.17,6088547.0,44.79,Rural,May
Punjab,2019-06-30, Monthly,12.21,6025235.0,45.79,Rural,June
Punjab,2019-07-31, Monthly,9.64,6308129.0,46.5,Rural,July
Punjab,2019-08-31, Monthly,6.69,6183427.0,44.08,Rural,August
Punjab,2019-09-30, Monthly,8.59,6260971.0,45.49,Rural,September
Punjab,2019-10-31, Monthly,12.56,6021921.0,45.66,Rural,October
Punjab,2019-11-30, Monthly,7.07,6395022.0,45.55,Rural,November
Punjab,2019-12-31, Monthly,6.13,6164215.0,43.4,Rural,December
Punjab,2020-01-31, Monthly,9.69,6189471.0,45.22,Rural,January
Punjab,2020-02-29, Monthly,10.41,6009820.0,44.19,Rural,February
Punjab,2020-03-31, Monthly,10.51,6373692.0,46.85,Rural,March
Punjab,2020-04-30, Monthly,3.69,4721590.0,32.2,Rural,April
Punjab,2020-05-31, Monthly,40.59,3727366.0,41.14,Rural,May
Punjab,2020-06-30, Monthly,20.0,5364047.0,43.9,Rural,June
Rajasthan,2019-05-31, Monthly,4.03,15226005.0,38.52,Rural,May
Rajasthan,2019-06-30, Monthly,13.7,14610564.0,41.02,Rural,June
Rajasthan,2019-07-31, Monthly,9.7,14859873.0,39.78,Rural,July
Rajasthan,2019-08-31, Monthly,12.5,15052051.0,41.48,Rural,August
Rajasthan,2019-09-30, Monthly,5.45,15419779.0,39.24,Rural,September
Rajasthan,2019-10-31, Monthly,14.66,15178544.0,42.69,Rural,October
Rajasthan,2019-11-30, Monthly,10.47,15278556.0,40.87,Rural,November
Rajasthan,2019-12-31, Monthly,13.96,15485307.0,43.0,Rural,December
Rajasthan,2020-01-31, Monthly,8.0,15484353.0,40.12,Rural,January
Rajasthan,2020-02-29, Monthly,14.48,15040572.0,41.83,Rural,February
Rajasthan,2020-03-31, Monthly,9.47,15059769.0,39.47,Rural,March
Rajasthan,2020-04-30, Monthly,12.25,13051219.0,35.21,Rural,April
Rajasthan,2020-05-31, Monthly,10.45,15586833.0,41.11,Rural,May
Rajasthan,2020-06-30, Monthly,13.86,16076978.0,43.98,Rural,June
Sikkim,2019-10-31, Monthly,5.48,146688.0,44.06,Rural,October
Sikkim,2019-11-30, Monthly,13.11,162426.0,53.04,Rural,November
Sikkim,2019-12-31, Monthly,1.0,161647.0,46.3,Rural,December
Sikkim,2020-04-30, Monthly,0.0,133399.0,37.72,Rural,April
Sikkim,2020-06-30, Monthly,5.81,141313.0,42.36,Rural,June
Tamil Nadu,2019-05-31, Monthly,0.97,15844698.0,49.44,Rural,May
Tamil Nadu,2019-06-30, Monthly,0.92,16375303.0,50.99,Rural,June
Tamil Nadu,2019-07-31, Monthly,6.01,16455928.0,53.94,Rural,July
Tamil Nadu,2019-08-31, Monthly,2.91,16463931.0,52.17,Rural,August
Tamil Nadu,2019-09-30, Monthly,1.71,14595441.0,45.62,Rural,September
Tamil Nadu,2019-10-31, Monthly,1.46,15595647.0,48.55,Rural,October
Tamil Nadu,2019-11-30, Monthly,2.46,16223430.0,50.95,Rural,November
Tamil Nadu,2019-12-31, Monthly,3.73,15356938.0,48.8,Rural,December
Tamil Nadu,2020-01-31, Monthly,1.18,14954646.0,46.23,Rural,January
Tamil Nadu,2020-02-29, Monthly,1.17,15828488.0,48.86,Rural,February
Tamil Nadu,2020-03-31, Monthly,6.36,15848590.0,51.56,Rural,March
Tamil Nadu,2020-04-30, Monthly,53.19,5086200.0,33.05,Rural,April
Tamil Nadu,2020-05-31, Monthly,38.73,5768342.0,28.6,Rural,May
Tamil Nadu,2020-06-30, Monthly,2.06,10169115.0,31.49,Rural,June
Telangana,2019-05-31, Monthly,2.23,11053353.0,61.74,Rural,May
Telangana,2019-06-30, Monthly,5.92,10728822.0,62.19,Rural,June
Telangana,2019-07-31, Monthly,2.45,11538688.0,64.4,Rural,July
Telangana,2019-08-31, Monthly,1.4,10743959.0,59.23,Rural,August
Telangana,2019-09-30, Monthly,5.49,12636415.0,72.57,Rural,September
Telangana,2019-10-31, Monthly,7.29,11375354.0,66.49,Rural,October
Telangana,2019-11-30, Monthly,6.47,11265828.0,65.17,Rural,November
Telangana,2019-12-31, Monthly,1.35,11068056.0,60.61,Rural,December
Telangana,2020-01-31, Monthly,5.02,12065915.0,68.51,Rural,January
Telangana,2020-02-29, Monthly,9.02,11304474.0,66.92,Rural,February
Telangana,2020-03-31, Monthly,5.63,12028377.0,68.53,Rural,March
Telangana,2020-04-30, Monthly,4.51,8793799.0,49.44,Rural,April
Telangana,2020-05-31, Monthly,34.01,7508747.0,61.0,Rural,May
Telangana,2020-06-30, Monthly,19.3,8891181.0,58.97,Rural,June
Tripura,2019-05-31, Monthly,29.25,1019549.0,64.47,Rural,May
Tripura,2019-06-30, Monthly,26.64,1107013.0,67.4,Rural,June
Tripura,2019-07-31, Monthly,22.47,1052597.0,60.54,Rural,July
Tripura,2019-08-31, Monthly,25.49,975501.0,58.29,Rural,August
Tripura,2019-09-30, Monthly,30.23,1034408.0,65.9,Rural,September
Tripura,2019-10-31, Monthly,27.54,1113764.0,68.21,Rural,October
Tripura,2019-11-30, Monthly,25.25,1084633.0,64.29,Rural,November
Tripura,2019-12-31, Monthly,26.53,1046878.0,63.02,Rural,December
Tripura,2020-01-31, Monthly,31.91,1057975.0,68.61,Rural,January
Tripura,2020-02-29, Monthly,26.22,1169347.0,69.88,Rural,February
Tripura,2020-03-31, Monthly,31.61,1060946.0,68.28,Rural,March
Tripura,2020-04-30, Monthly,43.64,675083.0,52.63,Rural,April
Tripura,2020-05-31, Monthly,14.71,911789.0,46.9,Rural,May
Tripura,2020-06-30, Monthly,18.84,1106978.0,59.74,Rural,June
Uttar Pradesh,2019-05-31, Monthly,10.26,43287808.0,39.96,Rural,May
Uttar Pradesh,2019-06-30, Monthly,11.13,42276572.0,39.32,Rural,June
Uttar Pradesh,2019-07-31, Monthly,9.19,42697000.0,38.78,Rural,July
Uttar Pradesh,2019-08-31, Monthly,11.47,43298746.0,40.24,Rural,August
Uttar Pradesh,2019-09-30, Monthly,6.45,44198762.0,38.79,Rural,September
Uttar Pradesh,2019-10-31, Monthly,10.18,42833265.0,39.07,Rural,October
Uttar Pradesh,2019-11-30, Monthly,6.94,43261530.0,38.01,Rural,November
Uttar Pradesh,2019-12-31, Monthly,8.43,44640087.0,39.77,Rural,December
Uttar Pradesh,2020-01-31, Monthly,6.06,45777509.0,39.67,Rural,January
Uttar Pradesh,2020-02-29, Monthly,8.12,44257432.0,39.13,Rural,February
Uttar Pradesh,2020-03-31, Monthly,9.37,43086706.0,38.53,Rural,March
Uttar Pradesh,2020-04-30, Monthly,19.92,39970677.0,40.37,Rural,April
Uttar Pradesh,2020-05-31, Monthly,16.89,38640999.0,37.52,Rural,May
Uttar Pradesh,2020-06-30, Monthly,8.51,41908909.0,36.89,Rural,June
Uttarakhand,2019-05-31, Monthly,1.63,2108044.0,37.47,Rural,May
Uttarakhand,2019-06-30, Monthly,4.65,2021553.0,37.01,Rural,June
Uttarakhand,2019-07-31, Monthly,5.74,2000524.0,36.97,Rural,July
Uttarakhand,2019-08-31, Monthly,6.11,1911380.0,35.39,Rural,August
Uttarakhand,2019-09-30, Monthly,3.47,2157845.0,38.79,Rural,September
Uttarakhand,2019-10-31, Monthly,4.83,2027662.0,36.9,Rural,October
Uttarakhand,2019-11-30, Monthly,5.56,2007113.0,36.73,Rural,November
Uttarakhand,2019-12-31, Monthly,4.52,1947566.0,35.19,Rural,December
Uttarakhand,2020-01-31, Monthly,4.17,1986386.0,35.69,Rural,January
Uttarakhand,2020-02-29, Monthly,4.85,2057523.0,37.16,Rural,February
Uttarakhand,2020-04-30, Monthly,3.66,1972074.0,35.04,Rural,April
Uttarakhand,2020-05-31, Monthly,3.57,1915482.0,33.94,Rural,May
Uttarakhand,2020-06-30, Monthly,10.71,1675441.0,32.0,Rural,June
West Bengal,2019-05-31, Monthly,6.02,23452875.0,46.41,Rural,May
West Bengal,2019-06-30, Monthly,5.85,25543465.0,50.36,Rural,June
West Bengal,2019-07-31, Monthly,5.62,24857807.0,48.78,Rural,July
West Bengal,2019-08-31, Monthly,5.58,24924827.0,48.79,Rural,August
West Bengal,2019-09-30, Monthly,5.26,25610773.0,49.87,Rural,September
West Bengal,2019-10-31, Monthly,6.78,24353018.0,48.09,Rural,October
West Bengal,2019-11-30, Monthly,5.83,25630359.0,50.0,Rural,November
West Bengal,2019-12-31, Monthly,5.79,24906239.0,48.47,Rural,December
West Bengal,2020-01-31, Monthly,6.79,24612171.0,48.3,Rural,January
West Bengal,2020-02-29, Monthly,3.78,26093009.0,49.51,Rural,February
West Bengal,2020-03-31, Monthly,7.02,25097812.0,49.18,Rural,March
West Bengal,2020-04-30, Monthly,18.32,17639370.0,39.27,Rural,April
West Bengal,2020-05-31, Monthly,18.43,19115772.0,42.53,Rural,May
West Bengal,2020-06-30, Monthly,4.94,21225887.0,40.44,Rural,June
